well,cell_count,image_file,annotated
G9,527,G9_01_FL3_merge.jpg,G9_01_FL3_merge_annotated.jpg
H10,574,H10_01_FL3_merge.jpg,H10_01_FL3_merge_annotated.jpg
H11,534,H11_01_FL3_merge.jpg,H11_01_FL3_merge_annotated.jpg
H12,500,H12_01_FL3_merge.jpg,H12_01_FL3_merge_annotated.jpg
H13,541,H13_01_FL3_merge.jpg,H13_01_FL3_merge_annotated.jpg
H14,550,H14_01_FL3_merge.jpg,H14_01_FL3_merge_annotated.jpg
H15,488,H15_01_FL3_merge.jpg,H15_01_FL3_merge_annotated.jpg
H16,385,H16_01_FL3_merge.jpg,H16_01_FL3_merge_annotated.jpg
H17,466,H17_01_FL3_merge.jpg,H17_01_FL3_merge_annotated.jpg
H18,441,H18_01_FL3_merge.jpg,H18_01_FL3_merge_annotated.jpg
H19,465,H19_01_FL3_merge.jpg,H19_01_FL3_merge_annotated.jpg
H20,486,H20_01_FL3_merge.jpg,H20_01_FL3_merge_annotated.jpg
H21,530,H21_01_FL3_merge.jpg,H21_01_FL3_merge_annotated.jpg
H22,590,H22_01_FL3_merge.jpg,H22_01_FL3_merge_annotated.jpg
H2,444,H2_01_FL3_merge.jpg,H2_01_FL3_merge_annotated.jpg
H3,505,H3_01_FL3_merge.jpg,H3_01_FL3_merge_annotated.jpg
H4,423,H4_01_FL3_merge.jpg,H4_01_FL3_merge_annotated.jpg
H5,437,H5_01_FL3_merge.jpg,H5_01_FL3_merge_annotated.jpg
H6,464,H6_01_FL3_merge.jpg,H6_01_FL3_merge_annotated.jpg
H7,452,H7_01_FL3_merge.jpg,H7_01_FL3_merge_annotated.jpg
H8,493,H8_01_FL3_merge.jpg,H8_01_FL3_merge_annotated.jpg
H9,484,H9_01_FL3_merge.jpg,H9_01_FL3_merge_annotated.jpg
I10,641,I10_01_FL3_merge.jpg,I10_01_FL3_merge_annotated.jpg
I11,568,I11_01_FL3_merge.jpg,I11_01_FL3_merge_annotated.jpg
I12,491,I12_01_FL3_merge.jpg,I12_01_FL3_merge_annotated.jpg
I13,444,I13_01_FL3_merge.jpg,I13_01_FL3_merge_annotated.jpg
I14,552,I14_01_FL3_merge.jpg,I14_01_FL3_merge_annotated.jpg
I15,541,I15_01_FL3_merge.jpg,I15_01_FL3_merge_annotated.jpg
I16,494,I16_01_FL3_merge.jpg,I16_01_FL3_merge_annotated.jpg
I17,541,I17_01_FL3_merge.jpg,I17_01_FL3_merge_annotated.jpg
I18,521,I18_01_FL3_merge.jpg,I18_01_FL3_merge_annotated.jpg
I19,569,I19_01_FL3_merge.jpg,I19_01_FL3_merge_annotated.jpg
I20,513,I20_01_FL3_merge.jpg,I20_01_FL3_merge_annotated.jpg
I21,554,I21_01_FL3_merge.jpg,I21_01_FL3_merge_annotated.jpg
I22,624,I22_01_FL3_merge.jpg,I22_01_FL3_merge_annotated.jpg
I2,521,I2_01_FL3_merge.jpg,I2_01_FL3_merge_annotated.jpg
I3,568,I3_01_FL3_merge.jpg,I3_01_FL3_merge_annotated.jpg
I4,583,I4_01_FL3_merge.jpg,I4_01_FL3_merge_annotated.jpg
I5,510,I5_01_FL3_merge.jpg,I5_01_FL3_merge_annotated.jpg
